date,lender,amount,borrower,industry,structure,description,location
1/2/2024,"Hercules Capital, Inc. [Lender]
Oxford Finance [Lender]",$400.0 MM,Verona Pharma,Pharmaceuticals,Debt Facility,"The debt facility provides non-dilutive capital and further financial flexibility to support Verona Pharma’s continued growth, including the planned commercial launch of ensifentrine. The debt facility replaces the existing facility of up to $150 million with an affiliate of Oxford. Under the terms of the debt facility, the Company drew $50 million at closing, and may draw, subject to certain conditions precedent, an additional $100 million upon approval of ensifentrine, $150 million in two separate tranches upon achievement of certain net sales milestones and, subject to the approval of the Lenders, $100 million to support strategic initiatives. Verona Pharma will pay only interest on the outstanding loans under the debt facility for the first 53 months with the outstanding principal of the loans under the debt facility amortized over the subsequent 7 months. The $20 million drawn and fees and associated costs due to Oxford on the discharge of the existing debt facility will be paid to Oxford on closing of the debt facility.",NC
1/3/2024,"KeyBank [Lender]
EverBank [Lender]
Axiom Bank [Lender]",$500.0 MM,Great Rock Capital,Lender Finance,Leverage Facility,"The leverage facility, agented by KeyBank, provides over $550 million of capital and includes the recent additions of new lending partners EverBank and Axiom Bank.",CT
1/3/2024,"Blue Torch Capital [Lender]
JPMorgan Chase Bank [Lender]
Sculptor Capital Management [Lender]
Arbour Lane Capital Management [Lender]",$260.0 MM,Lands' End,Apparel,Term Loan,The loan proceeds were used to refinance the Company’s existing term loan well ahead of its maturity in September 2025. The loan is secured by a first lien on all non-ABL assets and a second lien on all ABL assets. Interest is payable monthly at an initial rate of 8.25% per annum plus the greater of SOFR or 2.0%. The initial rate is subject to a reduction to 8.00% and 7.75% based on the Company’s debt and EBITDA levels. Amortization is payable quarterly at 1.25% of original principal amount. The loan matures in December 2028.,
1/3/2024,MidCap Business Credit LLC [Lender],$12.0 MM,Undisclosed,Utilities,Asset-Based Credit Facility,Transaction details not disclosed.,
1/3/2024,"Goldman Sachs [Lender]
CPPIB Credit Investments Inc. [Lender]",$100.0 MM,Altus Power,Energy,Secured Credit Facility,Altus Power plans to use proceeds from the facility to support its ongoing expansion. The facility carries an interest rate of 8.50% and a term of six years and is prepayable without penalty after three years.,CT
1/3/2024,SWK Holdings [Lender],$20.0 MM,Journey Medical Corporation,Pharmaceuticals,Term Loan,"The Credit Facility provides for an initial term loan of $15 million that the Company intends to use to fund general corporate operations and commercial and DFD-29 product development initiatives. The Credit Facility is expected to mature four years from funding and has an initial interest-only period for the first two years, which may be extended to three years based on the achievement of a specified revenue threshold. The Company also has the option to draw an additional tranche of $5 million under the Credit Facility, subject to the achievement of specified operational and financial metrics, in the twelve months following the date of the credit facility.",
1/4/2024,First Citizens Middle Market Banking [Lender],$16.0 MM,Raymour & Flanigan,Furniture,Credit Facility,"Financing to Raymour & Flanigan for the purchase of an existing furniture showroom in White Plains, New York.",NY
1/4/2024,O2 Sponsor Finance [Lender],$12.0 MM,Soundcore Capital Partners,Specialty Industries,Senior Secured Credit Facilities,"Facilities to support Soundcore Capital Partners' formation of Door & Dock Holdings, LLC (""Door & Dock Holdings"") through its investment into both Top Notch Dock & Door and Top Notch Garage Door (collectively ""Top Notch"") and Premier Overhead Doors (""Premier"").",
1/5/2024,"MUFG [Lender, Administrative Agent]",$62.5 MM,NextDecade Corporation,Energy,$50MM Revolver and $12.5MM Term Loan,"Borrowings under the Revolving Credit Facility may be utilized for general corporate purposes, including development costs related to Train 4 at the Rio Grande LNG facility. Borrowings under the Interest Term Loan may be utilized to pay interest expense, fees, and other expenses related to the Revolving Credit Facility. Borrowings under the Revolving Credit Facility and Interest Term Loan will bear interest at SOFR or the base rate plus an applicable margin as defined in the credit agreement. The Revolving Credit Facility and the Interest Term Loan mature at the earlier of two years from the closing date or 10 business days after a positive Final Investment Decision (FID) on Train 4 at the Rio Grande LNG facility. NextDecade expects the Revolving Credit Facility to provide meaningful liquidity and capital resources as the Company progresses toward a positive FID of Train 4.",TX
1/5/2024,"ING Capital [Coordinating Lead Arranger]
Natixis Corporate & Investment Banking [Coordinating Lead Arranger]
SMBC [Coordinating Lead Arranger]
HSBC [Joint Lead Arranger, Administrative Agent]",$375.0 MM,BrightNight,Energy,Corporate Credit Facility,"The corporate credit facility will provide BrightNight with the necessary capital to execute on its U.S. project portfolio which includes solar, energy storage, and integrated technologies providing value-add renewable power solutions for its customers. This funding specifically will support equipment deposits, letters of credit, and project buildout. The credit facility is structured as a Green Loan in alignment with Green Loan principles.",
